seed,scale,tightness_param,effective_target_tightness,max_feasible_tightness,tightness_clipped,generation_attempt,tightness_gap,tightness_warning,template_core_ratio_mean,B,L,D,total_signup,actual_tightness,feasibility_ratio,effective_books_ratio,signup_mean,signup_std,signup_min,signup_max,ship_rate_mean,ship_rate_std,score_sum,score_mean,score_std,score_variance,score_cv,score_book_freq_corr,signup_ship_rate_corr,signup_lib_size_corr,lib_size_ship_rate_corr,jaccard_overlap_mean,book_coverage,book_duplication_rate,lib_size_mean,lib_size_std,score_mean_delta_pct,score_cv_delta,signup_mean_delta_pct,ship_rate_mean_delta_pct,lib_size_mean_delta_pct,jaccard_delta,score_book_freq_corr_delta,signup_ship_rate_corr_delta,signup_lib_size_corr_delta,lib_size_ship_rate_corr_delta
c,0.6,0.2,0.0308,0.0308,1,0,0.0,0,0.3339,62342,6416,100000,3247478,0.0308,12500.0,1.0,506.15,300.8,8,1238,48869.45,29030.21,18750793,300.77,177.67,31566.74,0.5907,0.1369,-0.0058,0.0045,-0.0049,0.0,0.53,0.222,8.52,2.27,0.0033,0.016,0.0138,-1.2965,-43.3134,0.0,0.1364,0.0026,0.0022,-0.0078
c,0.75,0.08,0.0241,0.0241,1,0,0.0,0,0.3332,71698,8210,100000,4157028,0.0241,14285.7143,1.0,506.34,298.87,7,1238,48717.41,29150.29,21564812,300.77,176.73,31235.01,0.5876,0.1499,-0.0212,0.0059,-0.0041,0.0,0.6393,0.3305,10.78,2.84,0.0033,0.0129,0.0514,-1.6036,-28.2768,0.0,0.1494,-0.0128,0.0036,-0.007
c,0.75,0.12,0.0236,0.0236,1,0,0.0,0,0.3326,91207,8367,100000,4238757,0.0236,14285.7143,1.0,506.6,298.34,7,1245,48850.9,29282.18,27432677,300.77,177.41,31475.61,0.5899,0.1329,-0.0116,0.0052,-0.0137,0.0,0.5667,0.2565,10.76,2.86,0.0033,0.0152,0.1028,-1.334,-28.4098,0.0,0.1324,-0.0032,0.0029,-0.0166
c,0.75,0.2,0.0276,0.0276,1,0,0.0,0,0.3332,80113,7177,100000,3621691,0.0276,14285.7143,1.0,504.62,296.87,7,1233,48848.66,29183.23,24096184,300.78,177.28,31427.42,0.5894,0.14,-0.0171,0.0098,0.0038,0.0,0.56,0.2482,10.72,2.84,0.0066,0.0147,-0.2885,-1.3385,-28.676,0.0,0.1395,-0.0087,0.0075,0.0009
c,0.9,0.08,0.0202,0.0202,1,0,0.0,0,0.333,91269,9788,100000,4947801,0.0202,14285.7143,1.0,505.5,298.14,7,1238,49005.73,29199.44,27451803,300.78,177.53,31517.77,0.5902,0.155,-0.004,0.0052,0.0048,0.0,0.6739,0.376,13.06,3.44,0.0066,0.0155,-0.1146,-1.0213,-13.1071,0.0,0.1545,0.0044,0.0029,0.0019
c,0.9,0.12,0.0182,0.0182,1,0,0.0,0,0.3329,97707,10925,100000,5496551,0.0182,14285.7143,1.0,503.12,297.3,7,1242,49276.42,29295.69,29387403,300.77,177.9,31646.84,0.5915,0.1592,-0.0149,-0.0095,-0.0011,0.0,0.688,0.391,13.08,3.42,0.0033,0.0168,-0.5849,-0.4746,-12.9741,0.0,0.1587,-0.0065,-0.0118,-0.004
c,0.9,0.2,0.0189,0.0189,1,0,0.0,0,0.3332,87269,10443,100000,5298067,0.0189,11111.1111,1.0,507.33,297.64,9,1241,48938.18,29178.81,26247752,300.77,177.48,31498.15,0.5901,0.1628,0.0039,-0.006,0.0054,0.0,0.7068,0.4164,13.04,3.42,0.0033,0.0154,0.247,-1.1577,-13.2402,0.0,0.1623,0.0123,-0.0083,0.0025
d,0.6,0.08,0.08,1.0,0,0,0.0,0,0.2913,55643,16877,2025,25317,0.08,2025.0,1.0,1.5,0.5,1,2,1.0,0.0,3616751,65.0,8.18,66.87,0.1258,0.3041,0.0,-0.0003,0.0,0.0,0.5228,0.2418,3.92,1.33,0.0,0.1258,-25.0,0.0,-46.7391,0.0,0.3041,0.0,-0.0003,0.0
d,0.6,0.12,0.12,1.0,0,0,0.0,0,0.2912,56723,19433,3496,29141,0.12,3496.0,1.0,1.5,0.5,1,2,1.0,0.0,3686998,65.0,8.18,66.92,0.1259,0.3039,0.0,0.0021,0.0,0.0,0.5586,0.2737,3.92,1.32,0.0,0.1259,-25.0,0.0,-46.7391,0.0,0.3039,0.0,0.0021,0.0
d,0.6,0.2,0.2,1.0,0,0,0.0,0,0.2842,44181,17661,5299,26498,0.2,5299.0,1.0,1.5,0.5,1,2,1.0,0.0,2871613,65.0,8.18,66.91,0.1258,0.3132,0.0,0.0017,0.0,0.0,0.6088,0.3151,3.92,1.33,0.0,0.1258,-25.0,0.0,-46.7391,0.0,0.3132,0.0,0.0017,0.0
d,0.75,0.08,0.08,1.0,0,0,0.0,0,0.2266,68867,23422,2818,35237,0.08,2818.0,1.0,1.5,0.5,1,2,1.0,0.0,4476322,65.0,8.19,67.06,0.126,0.2939,0.0,-0.0018,0.0,0.0,0.6402,0.3589,5.03,1.65,0.0,0.126,-25.0,0.0,-31.6576,0.0,0.2939,0.0,-0.0018,0.0
d,0.75,0.12,0.12,1.0,0,0,0.0,0,0.2265,65103,23206,4170,34751,0.12,4170.0,1.0,1.5,0.5,1,2,1.0,0.0,4231679,65.0,8.17,66.81,0.1257,0.2959,0.0,0.0078,0.0,0.0,0.6528,0.3729,5.03,1.64,0.0,0.1257,-25.0,0.0,-31.6576,0.0,0.2959,0.0,0.0078,0.0
d,0.75,0.2,0.2,1.0,0,0,0.0,0,0.2256,62750,25541,7674,38370,0.2,7674.0,1.0,1.5,0.5,1,2,1.0,0.0,4078657,65.0,8.17,66.76,0.1257,0.3012,0.0,-0.0073,0.0,0.0,0.6935,0.4175,5.04,1.65,0.0,0.1257,-25.0,0.0,-31.5217,0.0,0.3012,0.0,-0.0073,0.0
d,0.9,0.08,0.08,1.0,0,0,0.0,0,0.1895,72838,25057,3005,37565,0.08,3005.0,1.0,1.5,0.5,1,2,1.0,0.0,4734444,65.0,8.18,66.83,0.1258,0.2951,0.0,-0.0003,0.0,0.0,0.7022,0.433,6.11,1.94,0.0,0.1258,-25.0,0.0,-16.9837,0.0,0.2951,0.0,-0.0003,0.0
d,0.9,0.12,0.12,1.0,0,0,0.0,0,0.1896,80733,32015,5746,47890,0.12,5746.0,1.0,1.5,0.5,1,2,1.0,0.0,5247588,65.0,8.21,67.4,0.1263,0.3159,0.0,0.0031,0.0,0.0029,0.7386,0.4836,6.13,1.96,0.0,0.1263,-25.0,0.0,-16.712,0.0029,0.3159,0.0,0.0031,0.0
d,0.9,0.2,0.2,1.0,0,0,0.0,0,0.1897,82871,27543,8253,41265,0.2,8253.0,1.0,1.5,0.5,1,2,1.0,0.0,5386701,65.0,8.19,67.08,0.126,0.3148,0.0,-0.0052,0.0,0.0,0.6923,0.4228,6.11,1.95,0.0,0.126,-25.0,0.0,-16.9837,0.0,0.3148,0.0,-0.0052,0.0
e,0.6,0.08,0.08,1.0,0,0,0.0002,0,0.4782,59868,653,263,3294,0.0798,263.0,0.7619,5.04,2.88,1,11,1.24,0.43,7512694,125.49,73.87,5456.15,0.5886,0.1388,-0.051,0.0242,0.0591,0.0025,0.9214,0.7612,295.83,172.0,0.0,0.0147,-7.1823,-16.7785,-39.8646,0.0003,0.1414,-0.0038,0.0101,0.0351
e,0.6,0.12,0.12,1.0,0,0,0.0001,0,0.4777,66585,672,414,3454,0.1199,414.0,0.9194,5.14,2.92,1,11,1.25,0.43,8355704,125.49,73.69,5430.11,0.5872,0.1294,-0.038,-0.007,0.0385,0.002,0.9093,0.7367,301.99,177.58,0.0,0.0133,-5.3407,-16.1074,-38.6124,-0.0002,0.132,0.0092,-0.0211,0.0145
e,0.6,0.2,0.2,1.0,0,0,0.0002,0,0.4781,53965,681,693,3468,0.1998,693.0,1.0,5.09,2.91,1,11,1.25,0.43,6772104,125.49,73.89,5459.45,0.5888,0.1384,-0.0534,-0.0102,0.0157,0.0031,0.943,0.814,293.98,174.18,0.0,0.0149,-6.2615,-16.1074,-40.2407,0.0009,0.141,-0.0062,-0.0243,-0.0083
e,0.75,0.08,0.08,1.0,0,0,0.0001,0,0.478,65628,714,284,3556,0.0799,284.0,0.6992,4.98,2.97,1,11,1.26,0.44,8235740,125.49,73.73,5435.66,0.5875,0.1362,-0.1051,-0.0169,0.0319,0.0029,0.9517,0.8388,367.57,218.12,0.0,0.0136,-8.2873,-15.4362,-25.2815,0.0007,0.1388,-0.0579,-0.031,0.0079
e,0.75,0.12,0.12,1.0,0,0,0.0001,0,0.4768,62841,662,390,3253,0.1199,390.0,0.8216,4.91,2.91,1,11,1.23,0.42,7886065,125.49,73.88,5458.7,0.5887,0.1412,-0.0449,0.0347,0.0133,0.0033,0.9478,0.8285,367.51,218.64,0.0,0.0148,-9.5764,-17.4497,-25.2937,0.0011,0.1438,0.0023,0.0206,-0.0107
e,0.75,0.2,0.2,1.0,0,0,0.0001,0,0.4777,62881,810,811,4057,0.1999,811.0,0.9991,5.01,2.95,1,11,1.25,0.43,7890895,125.49,74.13,5495.98,0.5908,0.148,-0.0277,0.0362,0.0127,0.0034,0.9687,0.8882,369.2,215.99,0.0,0.0169,-7.7348,-16.1074,-24.9502,0.0012,0.1506,0.0195,0.0221,-0.0113
e,0.9,0.08,0.08,1.0,0,0,0.0001,0,0.4775,100000,955,386,4829,0.0799,386.0,0.7383,5.06,2.99,1,11,1.26,0.44,12548979,125.49,73.9,5460.62,0.5889,0.1454,-0.0112,0.0266,-0.0425,0.0025,0.9554,0.8517,444.4,269.48,0.0,0.015,-6.814,-15.4362,-9.6638,0.0003,0.148,0.036,0.0125,-0.0665
e,0.9,0.12,0.12,1.0,0,0,0.0001,0,0.4777,77704,758,454,3785,0.1199,454.0,0.8119,4.99,2.92,1,11,1.25,0.43,9751055,125.49,74.06,5484.17,0.5901,0.1403,-0.0008,0.0357,-0.0198,0.0025,0.9584,0.8586,435.91,265.3,0.0,0.0162,-8.1031,-16.1074,-11.3896,0.0003,0.1429,0.0464,0.0216,-0.0438
e,0.9,0.2,0.2,1.0,0,0,0.0,0,0.4777,100000,868,857,4285,0.2,857.0,0.9896,4.94,2.88,1,11,1.25,0.43,12549076,125.49,74.04,5481.47,0.59,0.1398,-0.0051,0.0053,0.0265,0.0021,0.9452,0.8241,446.67,264.55,0.0,0.0161,-9.0239,-16.1074,-9.2023,-0.0001,0.1424,0.0421,-0.0088,0.0025
f,0.6,0.08,0.08,0.9719,0,0,0.0,0,0.4774,49720,611,8231,102890,0.08,304.8519,1.0,168.4,82.08,27,358,7.01,1.97,19944047,401.13,237.87,56581.61,0.593,0.1329,0.0251,0.0579,-0.0383,0.0028,0.9415,0.815,301.1,175.86,0.005,0.0171,1.3298,-6.158,-40.8843,0.0005,0.1306,0.0212,0.0035,-0.0242
f,0.6,0.12,0.12,1.0,0,0,0.0,0,0.4766,61486,558,11187,93225,0.12,360.871,1.0,167.07,80.8,31,352,6.96,1.92,24663247,401.12,237.88,56589.27,0.5931,0.1332,-0.0216,0.0567,0.0342,0.0021,0.8909,0.6905,300.94,180.77,0.0025,0.0172,0.5295,-6.8273,-40.9157,-0.0002,0.1309,-0.0255,0.0023,0.0483
f,0.6,0.2,0.2,1.0,0,0,0.0,0,0.4759,50546,481,15666,78333,0.2,559.5,1.0,162.85,82.15,28,354,6.98,1.87,20275162,401.12,236.49,55926.86,0.5896,0.1246,0.0227,0.0356,-0.0871,0.0026,0.904,0.7194,302.1,178.03,0.0025,0.0137,-2.0097,-6.5596,-40.6879,0.0003,0.1223,0.0188,-0.0188,-0.073
f,0.75,0.08,0.08,0.7206,0,0,0.0,0,0.4761,61188,841,11102,138779,0.08,411.1852,1.0,165.02,80.88,27,356,7.02,1.92,24543978,401.12,237.2,56265.03,0.5913,0.1458,-0.0399,0.0497,-0.0149,0.0031,0.9764,0.9131,382.54,222.75,0.0025,0.0154,-0.704,-6.0241,-24.895,0.0008,0.1435,-0.0438,-0.0047,-0.0008
f,0.75,0.12,0.12,0.9404,0,0,0.0,0,0.4763,71603,637,12761,106343,0.12,510.44,1.0,166.94,81.42,25,358,7.07,1.94,28721561,401.12,236.96,56147.69,0.5907,0.1333,-0.0305,0.0863,0.0055,0.0029,0.9332,0.7888,387.83,223.25,0.0025,0.0148,0.4513,-5.3548,-23.8564,0.0006,0.131,-0.0344,0.0319,0.0196
f,0.75,0.2,0.2,0.866,0,0,0.0,0,0.4768,75998,710,23095,115475,0.2,962.2917,1.0,162.64,82.06,24,351,6.9,1.89,30484647,401.12,237.23,56280.08,0.5914,0.1418,-0.0443,0.0521,-0.0006,0.0021,0.9309,0.786,369.03,225.39,0.0025,0.0155,-2.1361,-7.6305,-27.5474,-0.0002,0.1395,-0.0482,-0.0023,0.0135
f,0.9,0.08,0.08,0.7674,0,0,0.0,0,0.4771,82399,784,10425,130316,0.08,400.9615,1.0,166.22,80.17,26,355,7.01,1.92,33052088,401.12,236.42,55892.92,0.5894,0.1439,-0.0047,0.0693,-0.0296,0.0028,0.9604,0.8629,455.49,267.14,0.0025,0.0135,0.0181,-6.158,-10.5725,0.0005,0.1416,-0.0086,0.0149,-0.0155
f,0.9,0.12,0.12,0.5695,0,0,0.0,0,0.4778,98398,1077,21069,175582,0.12,842.76,1.0,163.03,80.18,25,353,6.99,1.98,39469687,401.12,237.19,56260.44,0.5913,0.152,0.0164,0.0588,-0.0215,0.0029,0.9691,0.891,453.82,267.73,0.0025,0.0154,-1.9014,-6.4257,-10.9004,0.0006,0.1497,0.0125,0.0044,-0.0074
f,0.9,0.2,0.2,0.563,0,0,0.0,0,0.4765,73488,1064,35524,177622,0.2,1366.3077,1.0,166.94,83.29,26,353,6.95,1.91,29477702,401.12,237.03,56185.36,0.5909,0.1575,0.0126,0.0532,-0.0018,0.0031,0.9879,0.9497,457.64,266.44,0.0025,0.015,0.4513,-6.9612,-10.1504,0.0008,0.1552,0.0087,-0.0012,0.0123
bc,0.6,0.08,0.0279,0.0279,1,0,0.0,0,0.3343,60743,7110,100000,3581451,0.0279,14285.7143,1.0,503.72,296.85,7,1237,49028.59,29190.43,6074280,100.0,12.56,157.88,0.1256,0.0816,0.0004,-0.0037,0.0019,0.0,0.5505,0.2547,8.54,2.28,0.0,0.1256,-0.4663,-0.9751,-43.1803,0.0,0.0816,0.0088,-0.006,-0.001
bc,0.6,0.12,0.0274,0.0274,1,0,0.0,0,0.334,61888,7217,100000,3651930,0.0274,12500.0,1.0,506.02,297.48,8,1238,49331.26,29290.22,6188911,100.0,12.54,157.2,0.1254,0.0807,-0.0186,0.0062,-0.0042,0.0,0.5471,0.2532,8.52,2.28,0.0,0.1254,-0.0119,-0.3638,-43.3134,0.0,0.0807,-0.0102,0.0039,-0.0071
bc,0.6,0.2,0.0298,0.0298,1,0,0.0,0,0.3345,70153,6615,100000,3360865,0.0298,14285.7143,1.0,508.07,298.16,7,1229,49011.99,29139.44,7015311,100.0,12.59,158.44,0.1259,0.0767,-0.0065,0.0119,-0.0033,0.0,0.4863,0.1966,8.52,2.29,0.0,0.1259,0.3932,-1.0086,-43.3134,0.0,0.0767,0.0019,0.0096,-0.0062
bc,0.75,0.08,0.0222,0.0222,1,0,0.0,0,0.3332,82447,8892,100000,4495123,0.0222,14285.7143,1.0,505.52,297.49,7,1245,49088.93,29194.3,8244645,100.0,12.6,158.71,0.126,0.0845,-0.0074,0.0012,0.0072,0.0,0.5919,0.2987,10.76,2.86,0.0,0.126,-0.1107,-0.8532,-28.4098,0.0,0.0845,0.001,-0.0011,0.0043
bc,0.75,0.12,0.0229,0.0229,1,0,0.0,0,0.333,79111,8635,100000,4369355,0.0229,12500.0,1.0,506.01,299.36,8,1242,48991.83,29228.1,7911103,100.0,12.59,158.63,0.1259,0.0824,-0.0083,0.0059,0.003,0.0,0.5936,0.3037,10.75,2.84,0.0,0.1259,-0.0138,-1.0494,-28.4764,0.0,0.0824,0.0001,0.0036,0.0001
bc,0.75,0.2,0.0222,0.0222,1,0,0.0,0,0.3336,91720,8885,100000,4496926,0.0222,12500.0,1.0,506.13,298.85,8,1237,49232.23,29489.74,9171875,100.0,12.6,158.69,0.126,0.0759,-0.0053,0.0134,0.0038,0.0,0.5591,0.2672,10.8,2.86,0.0,0.126,0.0099,-0.5638,-28.1437,0.0,0.0759,0.0031,0.0111,0.0009
bc,0.9,0.08,0.0198,0.0198,1,0,0.0,0,0.3333,100000,9982,100000,5052069,0.0198,12500.0,1.0,506.12,298.43,8,1246,49155.27,29293.04,9999932,100.0,12.59,158.51,0.1259,0.0842,-0.001,-0.0019,-0.0068,0.0008,0.6252,0.3345,13.02,3.43,0.0,0.1259,0.0079,-0.7192,-13.3733,0.0008,0.0842,0.0074,-0.0042,-0.0097
bc,0.9,0.12,0.0202,0.0202,1,0,0.0,0,0.3334,95095,9814,100000,4956086,0.0202,12500.0,1.0,505.0,297.2,8,1246,49072.22,29237.91,9509503,100.0,12.56,157.65,0.1256,0.0824,-0.0061,0.0005,0.0028,0.0011,0.6347,0.3471,13.03,3.45,0.0,0.1256,-0.2134,-0.887,-13.3067,0.0011,0.0824,0.0023,-0.0018,-0.0001
bc,0.9,0.2,0.0221,0.0221,1,0,0.0,0,0.3333,100000,8975,100000,4517981,0.0221,12500.0,1.0,503.4,296.99,8,1243,49123.3,29244.09,9999965,100.0,12.55,157.59,0.1255,0.0844,-0.0112,-0.0007,0.0036,0.0,0.5935,0.3024,13.05,3.43,0.0,0.1255,-0.5296,-0.7838,-13.1737,0.0,0.0844,-0.0028,-0.003,0.0007
bd,0.6,0.08,0.08,1.0,0,0,0.0,0,0.2943,66942,19246,2311,28892,0.08,2311.0,1.0,1.5,0.5,1,2,1.0,0.0,6694194,100.0,12.59,158.47,0.1259,0.3051,0.0,0.0106,0.0,0.0,0.5135,0.229,3.91,1.32,0.0,0.1259,-25.0,0.0,-46.875,0.0,0.3051,0.0,0.0106,0.0
bd,0.6,0.12,0.12,1.0,0,0,0.0,0,0.2929,66395,20186,3623,30193,0.12,3623.0,1.0,1.5,0.5,1,2,1.0,0.0,6639458,100.0,12.6,158.84,0.126,0.3082,0.0,-0.0101,0.0,0.0,0.5327,0.2453,3.92,1.32,0.0,0.126,-25.0,0.0,-46.7391,0.0,0.3082,0.0,-0.0101,0.0
bd,0.6,0.2,0.2,1.0,0,0,0.0,0,0.2935,72014,19992,6008,30043,0.2,6008.0,1.0,1.5,0.5,1,2,1.0,0.0,7201568,100.0,12.57,157.91,0.1257,0.3047,0.0,-0.0136,0.0,0.0,0.5016,0.2241,3.92,1.32,0.0,0.1257,-25.0,0.0,-46.7391,0.0,0.3047,0.0,-0.0136,0.0
bd,0.75,0.08,0.08,1.0,0,0,0.0,0,0.2274,81248,22758,2722,34027,0.08,2722.0,1.0,1.5,0.5,1,2,1.0,0.0,8124858,100.0,12.58,158.2,0.1258,0.3107,0.0,0.0003,0.0,0.0,0.5904,0.3054,5.02,1.64,0.0,0.1258,-25.0,0.0,-31.7935,0.0,0.3107,0.0,0.0003,0.0
bd,0.75,0.12,0.12,1.0,0,0,0.0,0,0.227,78238,21571,3891,32430,0.12,3891.0,1.0,1.5,0.5,1,2,1.0,0.0,7823739,100.0,12.6,158.71,0.126,0.2965,0.0,0.0092,0.0,0.0,0.5889,0.3014,5.02,1.64,0.0,0.126,-25.0,0.0,-31.7935,0.0,0.2965,0.0,0.0092,0.0
bd,0.75,0.2,0.2,1.0,0,0,0.0,0,0.2277,85754,21318,6400,32004,0.2,6400.0,1.0,1.5,0.5,1,2,1.0,0.0,8575422,100.0,12.64,159.7,0.1264,0.3225,0.0,0.0019,0.0,0.0,0.558,0.2731,5.02,1.65,0.0,0.1264,-25.0,0.0,-31.7935,0.0,0.3225,0.0,0.0019,0.0
bd,0.9,0.08,0.08,1.0,0,0,0.0,0,0.1898,88685,26623,3190,39878,0.08,3190.0,1.0,1.5,0.5,1,2,1.0,0.0,8868570,100.0,12.58,158.17,0.1258,0.3406,0.0,-0.0056,0.0,0.0,0.6731,0.3982,6.12,1.96,0.0,0.1258,-25.0,0.0,-16.8478,0.0,0.3406,0.0,-0.0056,0.0
bd,0.9,0.12,0.12,1.0,0,0,0.0,0,0.1894,100000,28550,5160,43008,0.12,5160.0,1.0,1.51,0.5,1,2,1.0,0.0,9999919,100.0,12.59,158.62,0.1259,0.3683,0.0,-0.0012,0.0,0.0,0.6514,0.3804,6.12,1.95,0.0,0.1259,-24.5,0.0,-16.8478,0.0,0.3683,0.0,-0.0012,0.0
bd,0.9,0.2,0.2,1.0,0,0,0.0,0,0.1889,100000,32747,9842,49210,0.2,9842.0,1.0,1.5,0.5,1,2,1.0,0.0,9999839,100.0,12.59,158.44,0.1259,0.3743,0.0,0.0007,0.0,0.0,0.6922,0.4263,6.13,1.95,0.0,0.1259,-25.0,0.0,-16.712,0.0,0.3743,0.0,0.0007,0.0
be,0.6,0.08,0.08,1.0,0,0,0.0002,0,0.4785,61397,667,268,3360,0.0798,268.0,0.767,5.04,2.9,1,11,1.26,0.44,6139792,100.0,12.54,157.18,0.1254,0.005,-0.1043,0.0424,0.0419,0.0027,0.8725,0.6818,292.6,176.49,0.0,0.1254,-7.1823,-15.4362,-40.5212,0.0005,0.005,-0.0571,0.0283,0.0179
be,0.6,0.12,0.12,1.0,0,0,0.0,0,0.4766,71165,631,377,3142,0.12,377.0,0.8994,4.98,2.97,1,11,1.26,0.44,7116411,100.0,12.6,158.75,0.126,0.004,-0.0302,-0.0006,0.0045,0.0022,0.8299,0.6049,294.7,171.0,0.0,0.126,-8.2873,-15.4362,-40.0943,0.0,0.004,0.017,-0.0147,-0.0195
be,0.6,0.2,0.2,1.0,0,0,0.0003,0,0.4785,64150,629,620,3104,0.1997,620.0,0.9969,4.93,3.0,1,11,1.27,0.44,6414870,100.0,12.61,158.91,0.1261,0.0051,-0.0734,0.0002,0.0757,0.0034,0.8568,0.6499,297.57,179.63,0.0,0.1261,-9.2081,-14.7651,-39.5109,0.0012,0.0051,-0.0262,-0.0139,0.0517
be,0.75,0.08,0.08,1.0,0,0,0.0002,0,0.4786,73686,914,363,4549,0.0798,363.0,0.7928,4.98,2.93,1,11,1.24,0.43,7368551,100.0,12.52,156.74,0.1252,0.0082,-0.0488,0.0108,0.0205,0.003,0.9325,0.8068,369.59,223.8,0.0,0.1252,-8.2873,-16.7785,-24.8709,0.0008,0.0082,-0.0016,-0.0033,-0.0035
be,0.75,0.12,0.12,1.0,0,0,0.0002,0,0.4776,79743,765,461,3847,0.1198,461.0,0.8781,5.03,2.97,1,11,1.24,0.42,7974226,100.0,12.58,158.25,0.1258,0.0091,-0.0427,0.0359,-0.0559,0.0028,0.8923,0.7181,366.99,222.81,0.0,0.1258,-7.3665,-16.7785,-25.3994,0.0006,0.0091,0.0045,0.0218,-0.0799
