dataset,instance_name,books,libraries,days,book_occurrences,available_books,available_score,avg_book_value,avg_frequency,avg_signup,avg_rate,max_books_in_library
real_world,B2000k_L140_D280.txt,2000000,140,280,895057,722960,578379827,800.0261865,1.2380449817417285,42.98571428571429,1701.0785714285714,9965
real_world,B240k_L90_D180.txt,240000,90,180,460268,205842,138925961,674.8110583333333,2.2360256896065915,33.68888888888889,1289.2333333333333,9956
real_world,B25k_L55_D110.txt,25000,55,110,149471,24963,14360678,575.25976,5.98770179866202,29.4,469.1272727272727,4985
real_world,B300_L11_D20.txt,300,11,20,1101,297,34030,114.82333333333334,3.707070707070707,13.818181818181818,39.18181818181818,144
real_world,B300k_L95_D190.txt,300000,95,190,479973,240501,162220621,674.7604066666667,1.9957214315117193,34.62105263157895,1331.2947368421053,9969
real_world,B35k_L60_D120.txt,35000,60,120,192290,34898,20578732,589.6764,5.5100578829732365,30.533333333333335,534.25,5803
real_world,B450k_L100_D200.txt,450000,100,200,537330,314581,220169273,699.9461644444444,1.7080815433862822,35.28,1445.85,9912
real_world,B48k_L65_D130.txt,48000,65,130,246963,47793,29162719,610.1357291666667,5.167346682568577,28.0,569.8923076923077,6870
real_world,B4k_L30_D60.txt,4000,30,60,16498,3958,1789962,452.2765,4.168266801414856,19.033333333333335,143.8,1180
real_world,B500_L14_D18.txt,500,14,18,1773,492,85698,174.296,3.6036585365853657,11.0,40.714285714285715,186
real_world,B50_L5_D4.txt,50,5,4,63,35,856,26.16,1.8,2.4,6.4,17
real_world,B50k_L400_D28.txt,50000,400,28,22309,16432,4195381,255.48698,1.3576557935735152,7.5325,19.715,100
real_world,B5k_L90_D21.txt,5000,90,21,770,677,20733,30.247,1.137370753323486,7.622222222222222,10.311111111111112,15
real_world,B600k_L105_D210.txt,600000,105,210,546355,359639,260775329,725.13239,1.5191761738854797,37.77142857142857,1585.009523809524,9986
real_world,B60_L6_D6.txt,60,6,6,146,59,2015,33.833333333333336,2.4745762711864407,3.5,6.333333333333333,30
real_world,B60k_L70_D140.txt,60000,70,140,273799,59480,36568588,614.82865,4.603211163416274,31.4,623.5142857142857,7828
real_world,B6k_L35_D70.txt,6000,35,70,36458,5997,2936308,489.69483333333335,6.079373019843255,25.17142857142857,185.45714285714286,1727
real_world,B70_L8_D7.txt,70,8,7,192,68,2704,39.84285714285714,2.823529411764706,3.0,10.125,33
real_world,B750_L20_D14.txt,750,20,14,3413,748,172528,230.68666666666667,4.56283422459893,13.1,58.7,295
real_world,B800k_L110_D220.txt,800000,110,220,595417,421046,311488486,739.9387225,1.4141376476679508,37.654545454545456,1569.2545454545455,9889
real_world,B80_L7_D9.txt,80,7,9,145,72,3193,44.725,2.013888888888889,4.0,9.142857142857142,38
real_world,B80k_L75_D150.txt,80000,75,150,354209,79147,50020750,632.0514625,4.475330713735201,32.13333333333333,787.1866666666666,8831
real_world,B90_L6_D11.txt,90,6,11,155,74,3704,50.32222222222222,2.0945945945945947,5.0,11.5,37
real_world,B90k_L850_D21.txt,90000,850,21,25183,20958,418275,19.971044444444445,1.2015936635175113,17.508235294117647,54.16470588235294,40
real_world,B95_L5_D12.txt,95,5,12,189,88,4907,55.294736842105266,2.147727272727273,5.4,14.2,49
real_world,B95k_L2k_D28.txt,95000,2000,28,108974,42974,22536612,525.2947684210526,2.5358123516544886,2.005,102.733,100
real_world,B96_L6_D14.txt,96,6,14,212,94,5790,61.59375,2.25531914893617,6.666666666666667,14.833333333333334,50
real_world,B98_L4_D15.txt,98,4,15,177,88,6136,69.3265306122449,2.0113636363636362,8.25,16.75,49
real_world,B99_L7_D16.txt,99,7,16,288,97,6324,64.83838383838383,2.9690721649484537,9.142857142857142,18.857142857142858,48
real_world,B9k_L40_D80.txt,9000,40,80,54197,8991,4707846,523.6365555555556,6.027916805694583,24.375,268.925,2487
seed_based,b_060x_008t.txt,71173,69,59,41068,24844,2543003,99.99862307335647,1.6530349380132023,10.768115942028986,1.0,754
seed_based,b_060x_012t.txt,64950,61,81,35922,21719,2221759,100.00050808314087,1.653943551728901,11.081967213114755,1.0,752
seed_based,b_060x_020t.txt,70743,62,128,38154,23382,2399137,99.99974555786439,1.6317680266871952,10.32258064516129,1.0,754
seed_based,b_075x_008t.txt,83201,77,65,55871,32178,3276546,99.99987980913691,1.7363105227173845,10.662337662337663,1.0,931
seed_based,b_075x_012t.txt,89643,74,98,55768,33066,3374450,99.99904063897907,1.6865662614165609,11.04054054054054,1.0,942
seed_based,b_075x_020t.txt,88207,86,199,65815,36628,3732542,99.99995465212511,1.7968494048269084,11.616279069767442,1.0,940
seed_based,b_090x_008t.txt,95532,93,84,86338,45410,4614847,99.99919398735503,1.901299273287822,11.311827956989248,1.0,1127
seed_based,b_090x_012t.txt,86297,96,132,86248,43026,4369261,100.0003244608735,2.0045553851159763,11.520833333333334,1.0,1132
seed_based,b_090x_020t.txt,100000,102,229,93828,48513,4934159,99.9993,1.934079525075753,11.254901960784315,1.0,1130
seed_based,bc_060x_008t.txt,60743,7110,100000,60713,33440,3369254,99.99967074395404,1.8155801435406698,503.72025316455694,49028.590154711674,14
seed_based,bc_060x_012t.txt,61888,7217,100000,61491,33856,3413125,100.00179356256463,1.8162511814744802,506.01773590134405,49331.259248995426,14
seed_based,bc_060x_020t.txt,70153,6615,100000,56339,34115,3439503,100.00015680013685,1.651443646489814,508.06727135298564,49011.990929705215,14
seed_based,bc_075x_008t.txt,82447,8892,100000,95699,48801,4914112,99.99933290477519,1.9610048974406262,505.52440395861447,49088.93409806568,18
seed_based,bc_075x_012t.txt,79111,8635,100000,92805,46964,4728111,100.00003792140157,1.9760880674559236,506.0052113491604,48991.83439490446,18
seed_based,bc_075x_020t.txt,91720,8885,100000,95960,51285,5168217,99.99863715656345,1.8711124110363655,506.12560495216655,49232.226449071466,18
seed_based,bc_090x_008t.txt,100000,9982,100000,129946,62519,6294557,99.99932,2.078504134743038,506.1179122420357,49155.265578040475,22
seed_based,bc_090x_012t.txt,95095,9814,100000,127925,60354,6074774,100.00003154739997,2.119577824170726,505.0016303240269,49072.223761972695,22
seed_based,bc_090x_020t.txt,100000,8975,100000,117104,59351,5980235,99.99965,1.9730754325959126,503.3962116991643,49123.29760445683,22
seed_based,bd_060x_008t.txt,66942,19246,2311,75251,34372,3497797,99.9999103701712,2.1893110671476785,1.501195053517614,1.0,9
seed_based,bd_060x_012t.txt,66395,20186,3623,79186,35371,3597755,99.99936742224565,2.23872664046818,1.4957396215198653,1.0,10
seed_based,bd_060x_020t.txt,72014,19992,6008,78418,36119,3679752,100.00233287971783,2.171101082532739,1.5027511004401761,1.0,9
seed_based,bd_075x_008t.txt,81248,22758,2722,114289,47972,4881989,100.00071386372588,2.382410572834153,1.4951665348448897,1.0,12
seed_based,bd_075x_012t.txt,78238,21571,3891,108387,46077,4673704,99.99922032771799,2.3523015821342534,1.5034073524639562,1.0,12
seed_based,bd_075x_020t.txt,85754,21318,6400,107092,47853,4893633,100.00025654779952,2.2379370154431277,1.501266535322263,1.0,12
seed_based,bd_090x_008t.txt,88685,26623,3190,162867,59694,6073672,100.00078931048091,2.7283646597648006,1.4978777748563272,1.0,14
seed_based,bd_090x_012t.txt,100000,28550,5160,174763,65136,6660511,99.99919,2.6830477769589782,1.5064098073555166,1.0,15
seed_based,bd_090x_020t.txt,100000,32747,9842,200668,69221,7064808,99.99839,2.8989468513890295,1.5027330747854766,1.0,14
seed_based,be_060x_008t.txt,61397,667,268,195166,53571,5359155,100.00149844454941,3.64312781168916,5.037481259370315,1.2608695652173914,700
seed_based,be_060x_012t.txt,71165,631,377,185954,59063,5909638,99.9987493852315,3.1484008600985387,4.979397781299524,1.2567353407290016,708
seed_based,be_060x_020t.txt,64150,629,620,187171,54966,5500376,99.99797349961028,3.4052141323727394,4.9348171701112875,1.2655007949125596,690
seed_based,be_075x_008t.txt,73686,914,363,337801,68714,6872600,99.9993350161496,4.916043309951393,4.977024070021882,1.2407002188183807,892
seed_based,be_075x_012t.txt,79743,765,461,280751,71152,7117952,99.99907201886059,3.9457921070384527,5.02875816993464,1.2366013071895425,891
seed_based,be_075x_020t.txt,89320,737,738,269293,76662,7670580,100.00122033139274,3.512731209725809,5.006784260515603,1.2672998643147897,859
seed_based,be_090x_008t.txt,100000,951,377,421949,91865,9187568,99.99907,4.593142110705927,4.962145110410095,1.2365930599369086,1076
seed_based,be_090x_012t.txt,100000,1014,608,450815,92598,9261438,99.99909,4.868517678567572,4.998027613412229,1.2357001972386588,1065
seed_based,be_090x_020t.txt,98842,1019,1018,450991,91771,9178221,100.00017199166346,4.914308441664578,4.996074582924436,1.2620215897939155,1065
seed_based,bf_060x_008t.txt,61506,695,9147,212335,54812,5484119,99.99928462263844,3.8738779829234473,164.5208633093525,7.020143884892087,703
seed_based,bf_060x_012t.txt,69883,697,13870,213566,60271,6030719,99.99914142209121,3.5434288463771964,165.83931133428982,6.925394548063128,707
seed_based,bf_060x_020t.txt,63108,739,24769,225941,56456,5647630,100.0005070672498,4.00207241037268,167.58998646820027,6.868741542625169,709
seed_based,bf_075x_008t.txt,77459,770,10139,293849,70069,7011170,100.00028402122413,4.193709058214046,164.5948051948052,6.927272727272728,866
seed_based,bf_075x_012t.txt,91837,804,15872,305985,80806,8084181,100.0009473305966,3.78666188154345,164.51119402985074,7.0335820895522385,892
seed_based,bf_075x_020t.txt,84818,796,26660,308053,75898,7592431,100.00055412766159,4.0587762523386655,167.46482412060303,6.99748743718593,881
seed_based,bf_090x_008t.txt,100000,884,11736,406553,91274,9130981,100.00034,4.454203825843066,165.95248868778282,6.990950226244344,1068
seed_based,bf_090x_012t.txt,87536,1076,21494,495276,83365,8338655,100.0,5.941054399328255,166.4674721189591,6.99721189591078,1076
seed_based,bf_090x_020t.txt,84605,909,29937,412032,79670,7969327,99.99944447727675,5.171733400276139,164.67216721672168,6.947194719471947,1041
seed_based,c_060x_008t.txt,70811,5746,100000,48846,32442,10415465,300.7727189278502,1.5056408359533937,501.43595544726765,48910.419944309084,14
seed_based,c_060x_012t.txt,54838,5880,99999,50260,30087,9555539,300.7729129435793,1.670488915478446,505.7190476190476,49160.91275510204,14
seed_based,c_060x_020t.txt,62342,6416,100000,54682,33043,10571659,300.77304225081,1.6548739521229912,506.1530548628429,48869.45230673317,14
seed_based,c_075x_008t.txt,71698,8210,100000,88535,45835,14491766,300.77285279924126,1.9316024871822843,506.337149817296,48717.41327649208,18
seed_based,c_075x_012t.txt,91207,8367,100000,89990,51684,16428705,300.77381122063,1.7411578051234424,506.60415919684476,48850.89876897335,18
seed_based,c_075x_020t.txt,80113,7177,100000,76939,44861,14303606,300.7774518492629,1.7150531642183633,504.62463424829315,48848.657517068415,18
seed_based,c_090x_008t.txt,91269,9788,100000,127784,61507,19382420,300.77904874601455,2.077552148535939,505.49662852472414,49005.731405803024,22
seed_based,c_090x_012t.txt,97707,10925,100000,142869,67220,21164221,300.77070220147993,2.1253942279083606,503.11679633867277,49276.419679633866,22
seed_based,c_090x_020t.txt,87269,10443,100000,136166,61683,19382756,300.76833698105855,2.2075126047695477,507.3318969644738,48938.17686488557,22
seed_based,cd_060x_008t.txt,65305,18474,2214,72171,34192,11362607,300.77344766863183,2.110756902199345,1.4983219660062792,1.0,10
seed_based,cd_060x_012t.txt,70200,20167,3627,79137,37088,12274710,300.77400284900284,2.1337629421915443,1.499132245748004,1.0,9
seed_based,cd_060x_020t.txt,55987,20313,6092,79563,33589,10983221,300.77132191401574,2.3687219030039595,1.4996307783193028,1.0,9
seed_based,cd_075x_008t.txt,70171,24115,2897,121265,47645,15259363,300.77349617363296,2.5451778780564593,1.5021356002488078,1.0,13
seed_based,cd_075x_012t.txt,77369,27110,4882,136161,53015,16979012,300.7741343432124,2.5683485805903987,1.500959055699004,1.0,12
seed_based,cd_075x_020t.txt,85411,22535,6754,113408,51140,16643615,300.7751226422826,2.2175987485334376,1.498690925227424,1.0,12
seed_based,cd_090x_008t.txt,83152,31178,3745,190413,63907,20149828,300.7731864537233,2.979532758539753,1.5017640644043877,1.0,14
seed_based,cd_090x_012t.txt,100000,30557,5499,186909,71103,22701205,300.77324,2.6287076494662673,1.4998200085086886,1.0,14
seed_based,cd_090x_020t.txt,100000,32709,9817,200060,72982,23173125,300.77213,2.741223863418377,1.5006573114433337,1.0,14
seed_based,ce_060x_008t.txt,60503,603,238,179952,53988,16468680,300.77111878749815,3.333185152256057,4.94195688225539,1.2504145936981759,711
seed_based,ce_060x_012t.txt,69662,649,396,192923,60853,18615160,300.7720995664781,3.1703120634972803,5.092449922958398,1.2480739599383668,690
seed_based,ce_060x_020t.txt,70655,624,618,182967,60871,18614664,300.77726983228365,3.0058155772042516,4.958333333333333,1.2451923076923077,715
seed_based,ce_075x_008t.txt,70491,795,313,293938,66665,20258612,300.7738860280036,4.409180229505738,4.927044025157232,1.2578616352201257,883
seed_based,ce_075x_012t.txt,70079,781,462,287103,66059,20078534,300.7729847743261,4.346160250684994,4.9385403329065305,1.231754161331626,870
seed_based,ce_075x_020t.txt,82461,772,756,287806,75634,23025724,300.77229235638663,3.8052463177935847,4.901554404145077,1.2525906735751295,876
seed_based,ce_090x_008t.txt,100000,971,387,427607,94587,28729695,300.7734,4.520779811179126,4.993820803295572,1.251287332646756,1048
seed_based,ce_090x_012t.txt,100000,1079,644,479237,95602,28991006,300.77305,5.0128344595301355,4.976830398517145,1.2455977757182577,1048
seed_based,ce_090x_020t.txt,86076,852,841,374010,81706,24782823,300.76848366559784,4.577509607617555,4.935446009389671,1.232394366197183,1033
seed_based,cf_060x_008t.txt,54983,616,7942,190886,50621,15396989,300.7764581779823,3.770885600837597,161.17045454545453,6.865259740259741,709
seed_based,cf_060x_012t.txt,60188,685,13357,204444,55029,16764845,300.77753040473186,3.7152047102436896,162.4963503649635,6.97956204379562,708
seed_based,cf_060x_020t.txt,57420,680,22392,206366,53082,16143221,300.77605363984674,3.8876832071135223,164.6485294117647,6.982352941176471,686
seed_based,cf_075x_008t.txt,89531,695,9308,267303,79753,24301981,300.7726262411902,3.3516356751470164,167.41438848920862,6.883453237410072,859
seed_based,cf_075x_012t.txt,85315,893,17592,340327,79826,24271127,300.7728418214851,4.26336030867136,164.16909294512877,6.988801791713326,879
seed_based,cf_075x_020t.txt,75957,845,28281,324413,71989,21831745,300.77222639124767,4.506424592646098,167.34792899408285,6.901775147928994,871
seed_based,cf_090x_008t.txt,93767,1081,14363,493562,90567,27428606,300.77165740612367,5.449689180385792,166.09065679925993,6.930619796484736,1061
seed_based,cf_090x_012t.txt,99017,899,18013,403963,93079,28288174,300.775402203662,4.340001504098669,166.98109010011123,7.048943270300334,1056
seed_based,cf_090x_020t.txt,83020,846,27948,387988,79507,24105651,300.7739460370995,4.8799225225451845,165.18203309692672,6.984633569739953,1064
seed_based,d_060x_008t.txt,55643,16877,2025,66098,29089,1922735,64.99920924464892,2.27226786757881,1.5000888783551578,1.0,9
seed_based,d_060x_012t.txt,56723,19433,3496,76092,31688,2090379,65.00005288859899,2.4012875536480687,1.4995625997015387,1.0,10
seed_based,d_060x_020t.txt,44181,17661,5299,69164,26898,1769278,64.9965596070709,2.57134359431928,1.5003680425796955,1.0,9
seed_based,d_075x_008t.txt,68867,23422,2818,117900,44088,2899800,64.99952081548491,2.6741970604246053,1.504440269831782,1.0,11
seed_based,d_075x_012t.txt,65103,23206,4170,116653,42502,2793768,64.9997542355959,2.74464731071479,1.4975006463845557,1.0,12
seed_based,d_075x_020t.txt,62750,25541,7674,128681,43516,2854355,64.99851792828686,2.9570962404632777,1.5022904349868837,1.0,12
seed_based,d_090x_008t.txt,72838,25057,3005,153064,51145,3356460,64.99964304346632,2.992746113989637,1.4991818653470088,1.0,14
seed_based,d_090x_012t.txt,80733,32015,5746,196135,59632,3914915,64.99929396900896,3.2890897504695467,1.4958613150085898,1.0,14
seed_based,d_090x_020t.txt,82871,27543,8253,168401,57371,3773722,65.00103775747849,2.9352983214516044,1.4982028101513996,1.0,14
seed_based,de_060x_008t.txt,56881,690,275,208608,50476,3281423,65.00014064450343,4.132815595530549,4.992753623188406,1.2420289855072464,706
seed_based,de_060x_012t.txt,56743,725,426,213760,50644,3292959,65.0014627354916,4.220835636995498,4.896551724137931,1.2289655172413794,692
seed_based,de_060x_020t.txt,46779,636,657,192448,42802,2782366,64.99788366574745,4.49623849352834,5.169811320754717,1.2311320754716981,700
seed_based,de_075x_008t.txt,69117,888,355,328542,64068,4165497,64.99879913769405,5.128020228507211,5.003378378378378,1.2488738738738738,886
seed_based,de_075x_012t.txt,63095,755,458,280759,58180,3783606,65.00007924558206,4.825696115503609,5.058278145695364,1.2794701986754966,867
seed_based,de_075x_020t.txt,57554,789,795,291143,54187,3523290,64.99968725023456,5.372930776754572,5.0430925221799745,1.2623574144486691,883
seed_based,de_090x_008t.txt,75180,894,357,392271,70813,4603934,64.99962756052142,5.539533701439002,5.003355704697986,1.2248322147651007,1078
seed_based,de_090x_012t.txt,67774,1021,615,453626,65574,4262501,64.99969014666391,6.917772287796993,5.024485798237023,1.2380019588638589,1056
seed_based,de_090x_020t.txt,74720,1078,1078,472781,71659,4658559,65.00121788008565,6.597649981160775,5.001855287569573,1.25417439703154,1060
seed_based,df_060x_008t.txt,48721,729,9732,220756,45118,2933572,64.99821432236612,4.892858726007359,166.8792866941015,6.901234567901234,689
seed_based,df_060x_012t.txt,52214,724,14453,222447,47752,3104625,64.99957865706516,4.658380800804155,166.36187845303868,6.860497237569061,696
seed_based,df_060x_020t.txt,51925,669,21880,205372,46924,3051034,64.99957631198845,4.376694228965987,163.53363228699553,6.947683109118087,700
seed_based,df_075x_008t.txt,54729,727,9499,281410,51780,3367268,64.99890368908622,5.43472383159521,163.32874828060523,7.050894085281981,871
seed_based,df_075x_012t.txt,56207,878,17466,335550,53988,3509548,65.00051594997065,6.215270060013336,165.78359908883826,6.943052391799545,855
seed_based,df_075x_020t.txt,63536,895,29690,337407,60030,3903784,64.99903991437925,5.62063968015992,165.8659217877095,6.949720670391062,898
seed_based,df_090x_008t.txt,86833,915,12072,422480,80314,5239499,64.99835316066472,5.260353114027442,164.9311475409836,6.9868852459016395,1074
seed_based,df_090x_012t.txt,78475,881,17664,399638,73545,4781518,65.00058617394075,5.433924807940716,167.09194097616344,6.927355278093076,1071
seed_based,df_090x_020t.txt,75013,900,29827,413465,71156,4626568,64.99950675216296,5.810683568497386,165.70888888888888,6.9366666666666665,1032
seed_based,e_060x_008t.txt,59868,653,263,193179,55160,7029446,125.48763947350838,3.502157360406091,5.044410413476263,1.2419601837672283,688
seed_based,e_060x_012t.txt,66585,672,414,202940,60547,7723605,125.48928437335736,3.351776306010207,5.1398809523809526,1.2455357142857142,707
seed_based,e_060x_020t.txt,53965,681,693,200203,50888,6460357,125.49066987862504,3.934188806791385,5.092511013215859,1.2452276064610865,686
seed_based,e_075x_008t.txt,65628,714,284,262445,62457,7917081,125.49125373316268,4.202010983556687,4.980392156862745,1.2563025210084033,866
seed_based,e_075x_012t.txt,62841,662,390,243294,59558,7555920,125.49235371811397,4.084992780147084,4.913897280966768,1.2341389728096677,860
seed_based,e_075x_020t.txt,62881,810,811,299052,60915,7703964,125.48933700163802,4.909332676680621,5.008641975308642,1.2518518518518518,876
seed_based,e_090x_008t.txt,100000,955,386,424400,95535,12120060,125.48979,4.442350970848381,5.056544502617801,1.2596858638743456,1054
seed_based,e_090x_012t.txt,77704,758,454,330420,74474,9439324,125.48974312776691,4.436716169401402,4.993403693931398,1.2519788918205805,1031
seed_based,e_090x_020t.txt,100000,868,857,387709,94523,11997308,125.49076,4.101742433058621,4.936635944700461,1.2465437788018434,1060
seed_based,ef_060x_008t.txt,61377,617,8149,189621,56044,7132166,125.49081903644688,3.3834308757404896,165.09562398703403,6.974068071312804,693
seed_based,ef_060x_012t.txt,60597,532,10587,161965,53797,6872258,125.4920705645494,3.0106697399483244,165.83834586466165,6.958646616541353,715
seed_based,ef_060x_020t.txt,58606,701,23498,215793,55142,7007807,125.49401085213118,3.913405389721084,167.60627674750356,6.927246790299572,701
seed_based,ef_075x_008t.txt,74116,602,7891,231548,67894,8655117,125.48930055588536,3.410433911685863,163.85548172757476,6.946843853820598,893
seed_based,ef_075x_012t.txt,68733,806,15983,304117,66093,8369610,125.49101596031018,4.601349613423509,165.25434243176178,6.937965260545906,869
seed_based,ef_075x_020t.txt,65291,733,24348,279477,62768,7947437,125.49175230889402,4.452539510578639,166.09004092769442,6.888130968622101,861
seed_based,ef_090x_008t.txt,96192,742,9826,338343,89732,11406187,125.48820068196939,3.7705946596531894,165.5458221024259,6.877358490566038,1053
seed_based,ef_090x_012t.txt,74028,1005,20075,461449,72949,9193700,125.49054411844168,6.32563845974585,166.46069651741294,6.989054726368159,1060
seed_based,ef_090x_020t.txt,87639,1019,33678,474095,85534,10809823,125.4887093645523,5.5427666191222205,165.252208047105,6.979391560353288,1067
seed_based,f_060x_008t.txt,49720,611,8231,183971,46809,18992982,401.127252614642,3.9302484564934095,168.3960720130933,7.014729950900164,713
seed_based,f_060x_012t.txt,61486,558,11187,167927,54780,22402913,401.11971830985914,3.0654801022270903,167.06989247311827,6.962365591397849,705
seed_based,f_060x_020t.txt,50546,481,15666,145310,45695,18610536,401.1229770901753,3.179997811576759,162.85446985446984,6.979209979209979,679
seed_based,f_075x_008t.txt,61188,841,11102,321719,59745,24117937,401.1240439301824,5.384869026696795,165.0166468489893,7.019024970273484,897
seed_based,f_075x_012t.txt,71603,637,12761,247050,66821,27171742,401.1223133108948,3.6971910028284523,166.94348508634224,7.069073783359498,881
seed_based,f_075x_020t.txt,75998,710,23095,262008,70743,28755345,401.1243322192689,3.703659726050634,162.64084507042253,6.895774647887324,894
seed_based,f_090x_008t.txt,82399,784,10425,357108,79137,32059097,401.12244080632047,4.512528905568824,166.21938775510205,7.011479591836735,1070
seed_based,f_090x_012t.txt,98398,1077,21069,488765,95356,38580071,401.1228581881746,5.125686899618272,163.02878365831012,6.991643454038997,1073
seed_based,f_090x_020t.txt,73488,1064,35524,486927,72598,29232950,401.12265948182016,6.707168241549354,166.93796992481202,6.946428571428571,1068
synthetic,synthetic_1.txt,100000,2067,31104,571376,805,267587,332.9095,709.783850931677,418.0,36663.0,277
synthetic,synthetic_10.txt,84402,8802,482,999983,363,51834,142.12109902608944,2754.7741046831957,426.0,20498.0,114
synthetic,synthetic_100.txt,100000,5327,28757,999868,625,156794,266.76148,1599.7888,336.0,35204.0,188
synthetic,synthetic_101.txt,100000,7943,94537,999882,522,152994,286.94997,1915.4827586206898,306.0,35249.0,126
synthetic,synthetic_102.txt,85038,18688,44458,190555,506,92691,190.23750558573815,376.59090909090907,16.0,29674.0,11
synthetic,synthetic_103.txt,10112,3,338,12396,8066,2933849,363.4805181962025,1.5368212248946194,10.0,71.0,4132
synthetic,synthetic_104.txt,22949,56,1411,167927,22943,7915569,345.01468473571833,7.31931308024234,103.0,150.0,2999
synthetic,synthetic_105.txt,27116,32,716,119838,26858,8558652,318.6131435314943,4.461910790081167,26.0,90.0,3745
synthetic,synthetic_106.txt,100000,269,3132,803309,99719,43278955,434.00574,8.05572659172274,22.0,461.0,2987
synthetic,synthetic_107.txt,100000,9472,30138,999955,594,225474,372.05419,1683.4259259259259,283.0,24727.0,106
synthetic,synthetic_108.txt,100000,92,426,174689,68908,16835783,244.30733,2.5351047773843387,11.0,472.0,1899
synthetic,synthetic_109.txt,100000,9816,24031,921361,791,120045,156.10417,1164.8053097345132,96.0,27395.0,94
synthetic,synthetic_11.txt,100000,7580,55790,999975,25807,5014737,194.54222,38.74820785058318,272.0,24766.0,132
synthetic,synthetic_110.txt,18843,9111,46751,999983,18843,14805607,785.7351271029029,53.0692034177148,400.0,48268.0,110
synthetic,synthetic_111.txt,2788,1,1665,2201,2201,963371,438.65638450502155,1.0,100.0,6.0,2201
synthetic,synthetic_112.txt,100000,4098,78142,540204,613,169254,274.41648,881.2463295269168,89.0,2428.0,132
synthetic,synthetic_113.txt,61498,6776,100000,121400,268,47211,186.56835994666494,452.9850746268657,521.0,43762.0,18
synthetic,synthetic_114.txt,100000,5866,83079,98813,372,107503,295.34254,265.6263440860215,602.0,40765.0,17
synthetic,synthetic_115.txt,100000,7054,88048,999875,806,345277,437.44129,1240.5397022332506,480.0,28867.0,142
synthetic,synthetic_116.txt,39829,1183,30074,999572,39829,28586917,717.7412689246529,25.096587913329483,201.0,42644.0,845
synthetic,synthetic_117.txt,100000,69,654,665920,99848,16122257,161.45714,6.669337392837113,14.0,564.0,9652
synthetic,synthetic_118.txt,100000,4729,70904,756197,248,66979,293.09493,3049.1814516129034,281.0,8644.0,160
synthetic,synthetic_119.txt,100000,3296,35238,999819,736,258437,345.20105,1358.4497282608695,372.0,26731.0,304
synthetic,synthetic_12.txt,46044,194,2599,689012,46044,28450207,617.8917339935714,14.964208148727304,34.0,115.0,3552
synthetic,synthetic_120.txt,100000,5081,82258,999869,477,187715,398.43415,2096.16142557652,188.0,21200.0,197
synthetic,synthetic_121.txt,86761,5448,63266,940816,278,48041,176.75042934037182,3384.2302158273383,169.0,16906.0,173
